canonical_composer,period,period_id
Domenico Scarlatti,Baroque,0
George Frideric Handel,Baroque,0
Henry Purcell,Baroque,0
Jean-Philippe Rameau,Baroque,0
Johann Pachelbel,Baroque,0
Johann Sebastian Bach,Baroque,0
Antonio Soler,Classical,1
Johann Christian Fischer / Wolfgang Amadeus Mozart,Classical,1
Joseph Haydn,Classical,1
Ludwig van Beethoven,Classical,1
Muzio Clementi,Classical,1
Wolfgang Amadeus Mozart,Classical,1
Alexander Scriabin,Romantic,2
Carl Maria von Weber,Romantic,2
César Franck,Romantic,2
Charles Gounod / Franz Liszt,Romantic,2
Edvard Grieg,Romantic,2
Felix Mendelssohn,Romantic,2
Felix Mendelssohn / Sergei Rachmaninoff,Romantic,2
Franz Liszt,Romantic,2
Franz Liszt / Camille Saint-Saëns,Romantic,2
Franz Liszt / Vladimir Horowitz,Romantic,2
Franz Schubert,Romantic,2
Frédéric Chopin,Romantic,2
Georges Bizet / Ferruccio Busoni,Romantic,2
Georges Bizet / Moritz Moszkowski,Romantic,2
Georges Bizet / Vladimir Horowitz,Romantic,2
Giuseppe Verdi / Franz Liszt,Romantic,2
Isaac Albéniz,Romantic,2
Isaac Albéniz / Leopold Godowsky,Romantic,2
Johannes Brahms,Romantic,2
Mikhail Glinka / Mily Balakirev,Romantic,2
Mily Balakirev,Romantic,2
Modest Mussorgsky,Romantic,2
Niccolò Paganini / Franz Liszt,Romantic,2
Nikolai Medtner,Romantic,2
Nikolai Rimsky-Korsakov / Sergei Rachmaninoff,Romantic,2
Pyotr Ilyich Tchaikovsky,Romantic,2
Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Romantic,2
Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,Romantic,2
Richard Wagner / Franz Liszt,Romantic,2
Robert Schumann,Romantic,2
Sergei Rachmaninoff,Romantic,2
Sergei Rachmaninoff / György Cziffra,Romantic,2
Sergei Rachmaninoff / Vyacheslav Gryaznov,Romantic,2
